Location,县区,目标月份,省,市,县,观测点,经度,纬度,记录人,时间起,时间止,Species,IOC_14.1,English,旧学名,Order,Family,number,报告ID,dist_km
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,橙熟,2024-01-01 07:09,2024-01-01 12:09,塔尾树鹊,Temnurus temnurus,Ratchet-tailed Treepie,Temnurus temnurus,PASSERIFORMES,Corvidae,1,fc0e7c06-4a83-421b-a0bb-b2f4e258cb4c,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,山楂,2024-01-01 07:09,2024-01-01 12:09,塔尾树鹊,Temnurus temnurus,Ratchet-tailed Treepie,Temnurus temnurus,PASSERIFORMES,Corvidae,1,03be588d-d37d-4c43-8667-1f071df83e23,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,匀桧,2024-01-01 07:09,2024-01-01 12:09,塔尾树鹊,Temnurus temnurus,Ratchet-tailed Treepie,Temnurus temnurus,PASSERIFORMES,Corvidae,1,573d7a17-ee0f-42f2-b26a-ab0e0bcdd500,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,龙柏,2024-01-01 07:09,2024-01-01 12:09,大盘尾,Dicrurus paradiseus,Greater Racket-tailed Drongo,Dicrurus paradiseus,PASSERIFORMES,Dicruridae,2,c11af900-3793-4a7e-9960-46bfa091738d,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,皮卡丘,2024-01-01 07:09,2024-01-01 12:09,大盘尾,Dicrurus paradiseus,Greater Racket-tailed Drongo,Dicrurus paradiseus,PASSERIFORMES,Dicruridae,1,a426554f-6592-4c70-9c1f-8238a6119f8f,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,橙熟,2024-01-01 07:09,2024-01-01 12:09,大盘尾,Dicrurus paradiseus,Greater Racket-tailed Drongo,Dicrurus paradiseus,PASSERIFORMES,Dicruridae,1,fc0e7c06-4a83-421b-a0bb-b2f4e258cb4c,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,山楂,2024-01-01 07:09,2024-01-01 12:09,大盘尾,Dicrurus paradiseus,Greater Racket-tailed Drongo,Dicrurus paradiseus,PASSERIFORMES,Dicruridae,1,03be588d-d37d-4c43-8667-1f071df83e23,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,匀桧,2024-01-01 07:09,2024-01-01 12:09,大盘尾,Dicrurus paradiseus,Greater Racket-tailed Drongo,Dicrurus paradiseus,PASSERIFORMES,Dicruridae,1,573d7a17-ee0f-42f2-b26a-ab0e0bcdd500,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,龙柏,2024-01-01 07:09,2024-01-01 12:09,斑颈穗鹛,Stachyris strialata,Spot-necked Babbler,Stachyris strialata,PASSERIFORMES,Timaliidae,1,c11af900-3793-4a7e-9960-46bfa091738d,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,皮卡丘,2024-01-01 07:09,2024-01-01 12:09,斑颈穗鹛,Stachyris strialata,Spot-necked Babbler,Stachyris strialata,PASSERIFORMES,Timaliidae,2,a426554f-6592-4c70-9c1f-8238a6119f8f,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,橙熟,2024-01-01 07:09,2024-01-01 12:09,斑颈穗鹛,Stachyris strialata,Spot-necked Babbler,Stachyris strialata,PASSERIFORMES,Timaliidae,2,fc0e7c06-4a83-421b-a0bb-b2f4e258cb4c,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,山楂,2024-01-01 07:09,2024-01-01 12:09,斑颈穗鹛,Stachyris strialata,Spot-necked Babbler,Stachyris strialata,PASSERIFORMES,Timaliidae,2,03be588d-d37d-4c43-8667-1f071df83e23,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,匀桧,2024-01-01 07:09,2024-01-01 12:09,斑颈穗鹛,Stachyris strialata,Spot-necked Babbler,Stachyris strialata,PASSERIFORMES,Timaliidae,2,573d7a17-ee0f-42f2-b26a-ab0e0bcdd500,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,龙柏,2024-01-01 07:09,2024-01-01 12:09,棕背伯劳,Lanius schach,Long-tailed Shrike,Lanius schach,PASSERIFORMES,Laniidae,1,c11af900-3793-4a7e-9960-46bfa091738d,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,皮卡丘,2024-01-01 07:09,2024-01-01 12:09,棕背伯劳,Lanius schach,Long-tailed Shrike,Lanius schach,PASSERIFORMES,Laniidae,2,a426554f-6592-4c70-9c1f-8238a6119f8f,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,橙熟,2024-01-01 07:09,2024-01-01 12:09,棕背伯劳,Lanius schach,Long-tailed Shrike,Lanius schach,PASSERIFORMES,Laniidae,2,fc0e7c06-4a83-421b-a0bb-b2f4e258cb4c,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,山楂,2024-01-01 07:09,2024-01-01 12:09,棕背伯劳,Lanius schach,Long-tailed Shrike,Lanius schach,PASSERIFORMES,Laniidae,2,03be588d-d37d-4c43-8667-1f071df83e23,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,匀桧,2024-01-01 07:09,2024-01-01 12:09,棕背伯劳,Lanius schach,Long-tailed Shrike,Lanius schach,PASSERIFORMES,Laniidae,2,573d7a17-ee0f-42f2-b26a-ab0e0bcdd500,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,龙柏,2024-01-01 07:09,2024-01-01 12:09,棕雨燕,Cypsiurus balasiensis,Asian Palm Swift,Cypsiurus balasiensis,APODIFORMES,Apodidae,3,c11af900-3793-4a7e-9960-46bfa091738d,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,皮卡丘,2024-01-01 07:09,2024-01-01 12:09,棕雨燕,Cypsiurus balasiensis,Asian Palm Swift,Cypsiurus balasiensis,APODIFORMES,Apodidae,3,a426554f-6592-4c70-9c1f-8238a6119f8f,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,橙熟,2024-01-01 07:09,2024-01-01 12:09,棕雨燕,Cypsiurus balasiensis,Asian Palm Swift,Cypsiurus balasiensis,APODIFORMES,Apodidae,3,fc0e7c06-4a83-421b-a0bb-b2f4e258cb4c,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,山楂,2024-01-01 07:09,2024-01-01 12:09,棕雨燕,Cypsiurus balasiensis,Asian Palm Swift,Cypsiurus balasiensis,APODIFORMES,Apodidae,3,03be588d-d37d-4c43-8667-1f071df83e23,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,匀桧,2024-01-01 07:09,2024-01-01 12:09,棕雨燕,Cypsiurus balasiensis,Asian Palm Swift,Cypsiurus balasiensis,APODIFORMES,Apodidae,3,573d7a17-ee0f-42f2-b26a-ab0e0bcdd500,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,龙柏,2024-01-01 07:09,2024-01-01 12:09,棕颈钩嘴鹛,Pomatorhinus ruficollis,Streak-breasted Scimitar Babbler,Pomatorhinus ruficollis,PASSERIFORMES,Timaliidae,1,c11af900-3793-4a7e-9960-46bfa091738d,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,皮卡丘,2024-01-01 07:09,2024-01-01 12:09,棕颈钩嘴鹛,Pomatorhinus ruficollis,Streak-breasted Scimitar Babbler,Pomatorhinus ruficollis,PASSERIFORMES,Timaliidae,1,a426554f-6592-4c70-9c1f-8238a6119f8f,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,橙熟,2024-01-01 07:09,2024-01-01 12:09,棕颈钩嘴鹛,Pomatorhinus ruficollis,Streak-breasted Scimitar Babbler,Pomatorhinus ruficollis,PASSERIFORMES,Timaliidae,1,fc0e7c06-4a83-421b-a0bb-b2f4e258cb4c,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,山楂,2024-01-01 07:09,2024-01-01 12:09,棕颈钩嘴鹛,Pomatorhinus ruficollis,Streak-breasted Scimitar Babbler,Pomatorhinus ruficollis,PASSERIFORMES,Timaliidae,1,03be588d-d37d-4c43-8667-1f071df83e23,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,匀桧,2024-01-01 07:09,2024-01-01 12:09,棕颈钩嘴鹛,Pomatorhinus ruficollis,Streak-breasted Scimitar Babbler,Pomatorhinus ruficollis,PASSERIFORMES,Timaliidae,1,573d7a17-ee0f-42f2-b26a-ab0e0bcdd500,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,龙柏,2024-01-01 07:09,2024-01-01 12:09,黄冠橙腹叶鹎,Chloropsis hardwickii,Orange-bellied Leafbird,Chloropsis lazulina,PASSERIFORMES,Chloropseidae,4,c11af900-3793-4a7e-9960-46bfa091738d,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,皮卡丘,2024-01-01 07:09,2024-01-01 12:09,黄冠橙腹叶鹎,Chloropsis hardwickii,Orange-bellied Leafbird,Chloropsis lazulina,PASSERIFORMES,Chloropseidae,5,a426554f-6592-4c70-9c1f-8238a6119f8f,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,橙熟,2024-01-01 07:09,2024-01-01 12:09,黄冠橙腹叶鹎,Chloropsis hardwickii,Orange-bellied Leafbird,Chloropsis lazulina,PASSERIFORMES,Chloropseidae,5,fc0e7c06-4a83-421b-a0bb-b2f4e258cb4c,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,山楂,2024-01-01 07:09,2024-01-01 12:09,黄冠橙腹叶鹎,Chloropsis hardwickii,Orange-bellied Leafbird,Chloropsis lazulina,PASSERIFORMES,Chloropseidae,5,03be588d-d37d-4c43-8667-1f071df83e23,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,匀桧,2024-01-01 07:09,2024-01-01 12:09,黄冠橙腹叶鹎,Chloropsis hardwickii,Orange-bellied Leafbird,Chloropsis lazulina,PASSERIFORMES,Chloropseidae,5,573d7a17-ee0f-42f2-b26a-ab0e0bcdd500,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,龙柏,2024-01-01 07:09,2024-01-01 12:09,海南柳莺,Phylloscopus hainanus,Hainan Leaf Warbler,Phylloscopus hainanus,PASSERIFORMES,Phylloscopidae,1,c11af900-3793-4a7e-9960-46bfa091738d,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,皮卡丘,2024-01-01 07:09,2024-01-01 12:09,海南柳莺,Phylloscopus hainanus,Hainan Leaf Warbler,Phylloscopus hainanus,PASSERIFORMES,Phylloscopidae,1,a426554f-6592-4c70-9c1f-8238a6119f8f,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,橙熟,2024-01-01 07:09,2024-01-01 12:09,海南柳莺,Phylloscopus hainanus,Hainan Leaf Warbler,Phylloscopus hainanus,PASSERIFORMES,Phylloscopidae,1,fc0e7c06-4a83-421b-a0bb-b2f4e258cb4c,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,山楂,2024-01-01 07:09,2024-01-01 12:09,海南柳莺,Phylloscopus hainanus,Hainan Leaf Warbler,Phylloscopus hainanus,PASSERIFORMES,Phylloscopidae,1,03be588d-d37d-4c43-8667-1f071df83e23,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,匀桧,2024-01-01 07:09,2024-01-01 12:09,海南柳莺,Phylloscopus hainanus,Hainan Leaf Warbler,Phylloscopus hainanus,PASSERIFORMES,Phylloscopidae,1,573d7a17-ee0f-42f2-b26a-ab0e0bcdd500,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,龙柏,2024-01-01 07:09,2024-01-01 12:09,淡眉雀鹛,Alcippe hueti,Huet's Fulvetta,Alcippe hueti,PASSERIFORMES,Alcippeidae,10,c11af900-3793-4a7e-9960-46bfa091738d,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,皮卡丘,2024-01-01 07:09,2024-01-01 12:09,淡眉雀鹛,Alcippe hueti,Huet's Fulvetta,Alcippe hueti,PASSERIFORMES,Alcippeidae,1,a426554f-6592-4c70-9c1f-8238a6119f8f,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,橙熟,2024-01-01 07:09,2024-01-01 12:09,淡眉雀鹛,Alcippe hueti,Huet's Fulvetta,Alcippe hueti,PASSERIFORMES,Alcippeidae,1,fc0e7c06-4a83-421b-a0bb-b2f4e258cb4c,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,山楂,2024-01-01 07:09,2024-01-01 12:09,淡眉雀鹛,Alcippe hueti,Huet's Fulvetta,Alcippe hueti,PASSERIFORMES,Alcippeidae,1,03be588d-d37d-4c43-8667-1f071df83e23,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,匀桧,2024-01-01 07:09,2024-01-01 12:09,淡眉雀鹛,Alcippe hueti,Huet's Fulvetta,Alcippe hueti,PASSERIFORMES,Alcippeidae,1,573d7a17-ee0f-42f2-b26a-ab0e0bcdd500,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,龙柏,2024-01-01 07:09,2024-01-01 12:09,灰树鹊,Dendrocitta formosae,Grey Treepie,Dendrocitta formosae,PASSERIFORMES,Corvidae,1,c11af900-3793-4a7e-9960-46bfa091738d,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,皮卡丘,2024-01-01 07:09,2024-01-01 12:09,灰树鹊,Dendrocitta formosae,Grey Treepie,Dendrocitta formosae,PASSERIFORMES,Corvidae,1,a426554f-6592-4c70-9c1f-8238a6119f8f,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,橙熟,2024-01-01 07:09,2024-01-01 12:09,灰树鹊,Dendrocitta formosae,Grey Treepie,Dendrocitta formosae,PASSERIFORMES,Corvidae,1,fc0e7c06-4a83-421b-a0bb-b2f4e258cb4c,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,匀桧,2024-01-01 07:09,2024-01-01 12:09,灰树鹊,Dendrocitta formosae,Grey Treepie,Dendrocitta formosae,PASSERIFORMES,Corvidae,1,573d7a17-ee0f-42f2-b26a-ab0e0bcdd500,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,龙柏,2024-01-01 07:09,2024-01-01 12:09,灰鹡鸰,Motacilla cinerea,Grey Wagtail,Motacilla cinerea,PASSERIFORMES,Motacillidae,1,c11af900-3793-4a7e-9960-46bfa091738d,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,皮卡丘,2024-01-01 07:09,2024-01-01 12:09,灰鹡鸰,Motacilla cinerea,Grey Wagtail,Motacilla cinerea,PASSERIFORMES,Motacillidae,1,a426554f-6592-4c70-9c1f-8238a6119f8f,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,橙熟,2024-01-01 07:09,2024-01-01 12:09,灰鹡鸰,Motacilla cinerea,Grey Wagtail,Motacilla cinerea,PASSERIFORMES,Motacillidae,1,fc0e7c06-4a83-421b-a0bb-b2f4e258cb4c,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,山楂,2024-01-01 07:09,2024-01-01 12:09,灰鹡鸰,Motacilla cinerea,Grey Wagtail,Motacilla cinerea,PASSERIFORMES,Motacillidae,1,03be588d-d37d-4c43-8667-1f071df83e23,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,匀桧,2024-01-01 07:09,2024-01-01 12:09,灰鹡鸰,Motacilla cinerea,Grey Wagtail,Motacilla cinerea,PASSERIFORMES,Motacillidae,1,573d7a17-ee0f-42f2-b26a-ab0e0bcdd500,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,龙柏,2024-01-01 07:09,2024-01-01 12:09,白喉冠鹎,Alophoixus pallidus,Puff-throated Bulbul,Alophoixus pallidus,PASSERIFORMES,Pycnonotidae,10,c11af900-3793-4a7e-9960-46bfa091738d,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,皮卡丘,2024-01-01 07:09,2024-01-01 12:09,白喉冠鹎,Alophoixus pallidus,Puff-throated Bulbul,Alophoixus pallidus,PASSERIFORMES,Pycnonotidae,20,a426554f-6592-4c70-9c1f-8238a6119f8f,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,橙熟,2024-01-01 07:09,2024-01-01 12:09,白喉冠鹎,Alophoixus pallidus,Puff-throated Bulbul,Alophoixus pallidus,PASSERIFORMES,Pycnonotidae,20,fc0e7c06-4a83-421b-a0bb-b2f4e258cb4c,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,山楂,2024-01-01 07:09,2024-01-01 12:09,白喉冠鹎,Alophoixus pallidus,Puff-throated Bulbul,Alophoixus pallidus,PASSERIFORMES,Pycnonotidae,20,03be588d-d37d-4c43-8667-1f071df83e23,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,匀桧,2024-01-01 07:09,2024-01-01 12:09,白喉冠鹎,Alophoixus pallidus,Puff-throated Bulbul,Alophoixus pallidus,PASSERIFORMES,Pycnonotidae,20,573d7a17-ee0f-42f2-b26a-ab0e0bcdd500,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,龙柏,2024-01-01 07:09,2024-01-01 12:09,白头鹎,Pycnonotus sinensis,Light-vented Bulbul,Pycnonotus sinensis,PASSERIFORMES,Pycnonotidae,30,c11af900-3793-4a7e-9960-46bfa091738d,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,皮卡丘,2024-01-01 07:09,2024-01-01 12:09,白头鹎,Pycnonotus sinensis,Light-vented Bulbul,Pycnonotus sinensis,PASSERIFORMES,Pycnonotidae,1,a426554f-6592-4c70-9c1f-8238a6119f8f,0.048
Jianfengling,乐东黎族自治县,2024-01,海南省,,乐东黎族自治县,鸣凤谷(尖峰岭国家森林公园天池景区内),108.85052,18.74708,橙熟,2024-01-01 07:09,2024-01-01 12:09,白头鹎,Pycnonotus sinensis,Light-vented Bulbul,Pycnonotus sinensis,PASSERIFORMES,Pycnonotidae,1,fc0e7c06-4a83-421b-a0bb-b2f4e258cb4c,0.048
